round_epochs,val_loss,val_accuracy,loss,accuracy,activation,batch_size,clipnorm,dropout,epochs,hidden_size,layers,optimizer,recurrent_dropout
20,1.5514945983886719,0.6299999952316284,1.483123031258583,0.67625,softmax,40,0.1,0,20,128,5,<class 'keras.optimizers.Adam'>,0.05
100,0.21538748368620872,0.9300000071525574,0.09154797063238221,0.95625,softmax,20,0.1,0.1,100,128,1,<class 'keras.optimizers.Adam'>,0.1
200,0.3893238607794046,0.8899999856948853,0.0758246096833318,0.96125,softmax,20,0.1,0.05,200,64,1,<class 'keras.optimizers.Adam'>,0
200,0.5578405559062958,0.8349999785423279,0.1169894639402628,0.94875,softmax,40,0.1,0,200,32,2,<class 'keras.optimizers.Nadam'>,0
50,0.1841902494430542,0.9200000166893005,0.08009849293157459,0.95125,softmax,40,0.1,0.05,50,128,2,<class 'keras.optimizers.Nadam'>,0.05
200,0.33602313697338104,0.9049999713897705,0.09260657981503755,0.94375,softmax,40,0.1,0,200,32,2,<class 'keras.optimizers.Nadam'>,0.1
400,0.29912440180778505,0.8949999809265137,0.1855103075504303,0.925,softmax,40,0.1,0.1,400,32,1,<class 'keras.optimizers.Nadam'>,0.05
50,1.0024597764015197,0.7649999856948853,0.8742068111896515,0.82375,softmax,40,0.1,0.1,50,64,4,<class 'keras.optimizers.Adam'>,0.1
200,0.36341501623392103,0.875,0.18466289546340703,0.9325,softmax,20,0.1,0.1,200,32,2,<class 'keras.optimizers.Adam'>,0.05
400,0.4395247258245945,0.8700000047683716,0.14211767324013636,0.9425,softmax,20,0.1,0,400,32,1,<class 'keras.optimizers.Nadam'>,0.1
200,0.2969615966081619,0.875,0.14535754602402448,0.94875,softmax,40,0.1,0.05,200,64,1,<class 'keras.optimizers.Adam'>,0.05
100,0.67271888256073,0.8600000143051147,0.5125754550099373,0.87125,softmax,40,0.1,0.05,100,32,4,<class 'keras.optimizers.Nadam'>,0.1
100,0.30262504518032074,0.9150000214576721,0.20476681552827358,0.935,softmax,40,0.1,0.05,100,64,2,<class 'keras.optimizers.Adam'>,0.1
20,0.7835622519254685,0.7699999809265137,0.5708448030054569,0.835,softmax,20,0.1,0.05,20,128,5,<class 'keras.optimizers.Nadam'>,0.05
100,0.25643556714057925,0.9150000214576721,0.09149318095296621,0.94625,softmax,40,0.1,0.1,100,64,2,<class 'keras.optimizers.Nadam'>,0.1
50,0.1699031598865986,0.9350000023841858,0.08288822775275548,0.95375,softmax,20,0.1,0.1,50,256,1,<class 'keras.optimizers.Nadam'>,0
50,0.5141027390956878,0.8399999737739563,0.25147887244820594,0.925,softmax,40,0.1,0,50,64,4,<class 'keras.optimizers.Nadam'>,0.05
50,0.2566580444574356,0.9200000166893005,0.1078409779816866,0.9475,softmax,40,0.1,0,50,128,2,<class 'keras.optimizers.Adam'>,0.1
25,0.17313661575317382,0.9350000023841858,0.0967275058850646,0.94125,softmax,40,0.1,0.1,25,256,2,<class 'keras.optimizers.Nadam'>,0.05
10,1.1510887384414672,0.7049999833106995,1.0506087049841881,0.74625,softmax,20,0.1,0.1,10,256,5,<class 'keras.optimizers.Adam'>,0.1
20,0.8811039865016937,0.800000011920929,0.9177932009100914,0.78,softmax,20,0.1,0.05,20,128,5,<class 'keras.optimizers.Adam'>,0
50,0.22806774713099004,0.9049999713897705,0.0833807126165084,0.95125,softmax,20,0.1,0.05,50,256,1,<class 'keras.optimizers.Nadam'>,0
400,0.4102480515837669,0.8600000143051147,0.26170140635222194,0.90875,softmax,20,0.1,0.1,400,32,1,<class 'keras.optimizers.Adam'>,0.1
100,0.6920005261898041,0.8349999785423279,0.6117664016783237,0.84125,softmax,20,0.1,0,100,32,4,<class 'keras.optimizers.Adam'>,0.1
200,0.23595271483063698,0.9100000262260437,0.12396586879622191,0.9475,softmax,20,0.1,0.05,200,64,1,<class 'keras.optimizers.Adam'>,0.1
200,0.2971835555508733,0.9100000262260437,0.11609838021395262,0.94625,softmax,20,0.1,0.05,200,64,1,<class 'keras.optimizers.Nadam'>,0.1
400,1.2261360168457032,0.75,0.3795968897640705,0.89,softmax,40,0.1,0,400,32,1,<class 'keras.optimizers.Nadam'>,0
50,0.17346925735473634,0.9350000023841858,0.08426635068171891,0.9525,softmax,40,0.1,0.05,50,256,1,<class 'keras.optimizers.Nadam'>,0
50,0.20285939574241638,0.925000011920929,0.08462578859180211,0.9475,softmax,40,0.1,0.05,50,128,2,<class 'keras.optimizers.Adam'>,0
200,0.2694450214505196,0.9150000214576721,0.08876216469507199,0.9575,softmax,20,0.1,0.05,200,64,1,<class 'keras.optimizers.Adam'>,0.05
25,0.6065335422754288,0.8299999833106995,0.44694616869091985,0.8775,softmax,20,0.1,0.1,25,128,4,<class 'keras.optimizers.Adam'>,0.05
50,0.17003219723701476,0.925000011920929,0.08529095649719239,0.9525,softmax,40,0.1,0,50,256,1,<class 'keras.optimizers.Adam'>,0.1
100,0.38174075484275816,0.8700000047683716,0.14490228593349458,0.95,softmax,40,0.1,0.1,100,64,2,<class 'keras.optimizers.Adam'>,0
25,0.19573836959898472,0.9300000071525574,0.09063080150226596,0.9475,softmax,20,0.1,0,25,256,2,<class 'keras.optimizers.Adam'>,0.1
100,0.4488682433962822,0.8799999952316284,0.09244638672680594,0.94875,softmax,20,0.1,0.1,100,64,2,<class 'keras.optimizers.Adam'>,0.1
