k,label,no_result,no_result_w_reason,wrong,wrong_w_reason,contains,contains_w_reason,plurality_and_dist,plurality_and_dist_w_reason,plurality,plurality_w_reason,majority,majority_w_reason,exact,exact_w_reason,reasons
7,renren.com,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0
7,q8yat.com,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0
7,meipai.com,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0
7,constintptr.com,1,0,0,0,0,0,0,0,0,0,3,0,6,0,0
7,analyticsvidhya.com,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0
7,seekingalpha.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,unibo.it,1,0,1,0,3,0,0,0,2,0,1,0,2,0,0
7,omelete.com.br,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,adelaide.edu.au,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0
7,goodreturns.in,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,shareba.com,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0
7,noticiasaominuto.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,eklablog.com,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0
7,imis.tmall.com,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,maplestage.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,audiofanzine.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,centrum.cz,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,comdotgame.com,5,0,2,0,1,0,1,0,0,0,1,0,0,0,0
7,glosbe.com,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,aleks.com,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0
7,naviance.com,8,0,0,0,1,0,0,0,0,0,0,0,1,0,0
7,donya-e-eqtesad.com,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0
7,pho.to,0,0,0,0,1,0,2,0,1,0,6,0,0,0,0
7,travelandleisure.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,atmarkit.co.jp,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0
7,dobreprogramy.pl,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,virginmedia.com,4,0,0,0,0,0,0,0,0,0,0,0,6,0,0
7,nab.com.au,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0
7,template.net,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
7,oyunskor.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,tdk.gov.tr,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0
7,scofield.tmall.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,ratopati.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,reverb.com,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0
7,vidoza.net,1,0,2,0,1,0,1,0,1,0,3,0,1,0,0
7,filetender.com,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10
7,soccerline.kr,2,0,1,0,0,0,0,0,0,0,0,0,7,0,0
7,slideplayer.com.br,5,0,1,0,0,0,0,0,0,0,0,0,4,0,0
7,rightmove.co.uk,4,0,0,0,0,0,0,0,0,0,0,0,6,0,0
7,americanmilitarynews.com,0,0,1,0,0,0,1,0,0,0,8,0,0,0,0
7,boingboing.net,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,9to5mac.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,lika-online.com,2,0,0,0,1,0,0,0,0,0,0,0,7,0,0
7,ncaa.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,softpedia.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,xvideos10.blog.br,0,0,0,0,2,0,0,0,1,0,1,0,6,0,0
7,geni.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,vinted.fr,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,sanspo.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,property24.com,4,0,0,0,0,0,0,0,0,0,1,0,5,0,0
7,iscorp.com,0,0,2,0,3,0,0,0,1,0,4,0,0,0,0
7,stitcher.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,polar.com,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0
7,amctheatres.com,4,0,0,0,0,0,0,0,0,0,0,0,6,0,0
7,surfearner.com,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,showroomprive.com,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
7,elgenero.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,investopedia.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,renweb.com,3,0,0,0,0,0,2,0,0,0,1,0,4,0,0
7,analog.com,0,0,0,0,0,0,0,0,0,0,8,0,2,0,0
7,levi.com,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0
7,tencent.com,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0
7,hdrezka.ag,3,0,0,0,0,0,0,0,1,0,5,0,1,0,0
7,hostinger.com,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0
7,eldorar.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,healthunlocked.com,5,0,0,0,0,0,0,0,0,0,3,0,2,0,0
7,meituan.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,chouftv.ma,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0
7,uncommongoods.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,lun.com,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0
7,jstv.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,phonearena.com,4,0,0,0,0,0,0,0,0,0,0,0,6,0,0
7,bartarinha.ir,4,0,4,0,0,0,1,0,0,0,0,0,1,0,0
7,obozrevatel.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,sciaga.pl,1,0,0,0,1,0,1,0,0,0,4,0,3,0,0
7,google.co.th,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0
7,cyol.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,statista.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,xiaohongshu.com,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10
7,alexa.com,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0
7,srf.ch,1,0,0,0,0,0,1,0,0,0,0,0,8,0,0
7,fool.com,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0
7,carfax.com,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0
7,domesticatedcompanion.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,khaosod.co.th,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,liveinternet.ru,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,sonymobile.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,bangbros.com,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0
7,ghanaweb.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,desidime.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,thespruce.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,ogone.com,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
